station_id,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides,monthtotal
40790,Monroe/Dearborn,10/01/2018,8761.8,2533,2182,220381
40370,Washington/Dearborn,10/01/2018,14381,7121,5790.3,382409
40490,Grand/Milwaukee,10/01/2018,3032.8,1615.5,1405.5,81839
41410,Chicago/Milwaukee,10/01/2018,4445,2006,1572,116548
40320,Division/Milwaukee,10/01/2018,6784.5,3353.8,2668,180130
40590,Damen/Milwaukee,10/01/2018,7012.7,5016.5,3742.8,196329
40670,Western/Milwaukee,10/01/2018,5996.8,2751.8,2208.3,157767
40570,California/Milwaukee,10/01/2018,6202.4,3230.8,2518.5,165653
41020,Logan Square,10/01/2018,8139.2,4356.5,3476,218531
40060,Belmont-O'Hare,10/01/2018,4885,2593.5,1953.5,130542
41240,Addison-O'Hare,10/01/2018,3449.7,1411.5,1058.5,89224
40550,Irving Park-O'Hare,10/01/2018,4634.7,2404.3,1917,123883
41330,Montrose-O'Hare,10/01/2018,3404.5,1488.3,1138.8,88812
41280,Jefferson Park,10/01/2018,5507.2,2632.3,2112.3,145644
40750,Harlem-O'Hare,10/01/2018,3488.3,1403,1082.5,90174
40230,Cumberland,10/01/2018,4876.1,1975.3,1689,126807
40820,Rosemont,10/01/2018,7237.5,4245,3437.5,197192
40890,O'Hare Airport,10/01/2018,12484.1,10352.8,11347.3,373934
41680,Oakton-Skokie,10/01/2018,1085,437.3,289,27859
40140,Dempster-Skokie,10/01/2018,2106.7,892.5,740,54984
40840,South Boulevard,10/01/2018,826.9,397,264,21663
40270,Main,10/01/2018,1250.2,903.3,591.8,34735
40690,Dempster,10/01/2018,844.4,649,519.5,24095
40050,Davis,10/01/2018,3782.2,2782.5,1852.3,105530
40520,Foster,10/01/2018,918.5,665.8,463.8,25643
40400,Noyes,10/01/2018,1028.9,688.5,435.5,28160
41250,Central-Evanston,10/01/2018,791.5,1954.5,267.3,27091
41050,Linden,10/01/2018,971.7,545.5,385.8,26075
40450,95th/Dan Ryan,10/01/2018,10237.4,5944.8,4625.3,277741
41430,87th,10/01/2018,4273.8,2945,2298.3,119270
40240,79th,10/01/2018,6957.2,4781,3810.3,194380
40990,69th,10/01/2018,5140.1,3773,2781.8,144441
40910,63rd-Dan Ryan,10/01/2018,3299.1,2446.5,1895.5,93248
41170,Garfield-Dan Ryan,10/01/2018,3383.9,2962.8,1909.3,97318
41230,47th-Dan Ryan,10/01/2018,3137.1,2214,1735.5,87951
40190,Sox-35th-Dan Ryan,10/01/2018,4360.3,2655.3,2742,121876
41000,Cermak-Chinatown,10/01/2018,4402.5,5216.8,5554.3,144342
41400,Roosevelt,10/01/2018,11672,8987,9777,343512
41490,Harrison,10/01/2018,4545.6,3598,3664,133596
40560,Jackson/State,10/01/2018,11048.5,4484.3,5075,292353
41090,Monroe/State,10/01/2018,11220.2,4936.5,3966.3,293676
41660,Lake/State,10/01/2018,23156.5,13408,10374.5,627730
40330,Grand/State,10/01/2018,11747.1,10969.5,9486,352006
41450,Chicago/State,10/01/2018,15366,12059,9405.3,439275
40630,Clark/Division,10/01/2018,8336.4,6283,6241,241834
40650,North/Clybourn,10/01/2018,5881,4932.3,3834.8,170330
41220,Fullerton,10/01/2018,14993,8758.3,7258.8,408906
41320,Belmont-North Main,10/01/2018,13004.4,9683.3,8105,370255
41420,Addison-North Main,10/01/2018,7732.3,5055.5,4774.8,217164
40080,Sheridan,10/01/2018,5596.1,3394.5,3076.5,154595
40540,Wilson,10/01/2018,7438,4732,3340.5,203364
40770,Lawrence,10/01/2018,3459.4,3147.3,2360.5,101598
41200,Argyle,10/01/2018,3304.6,2583,2121.5,94824
40340,Berwyn,10/01/2018,3543.6,2481.8,1989.8,99388
41380,Bryn Mawr,10/01/2018,5136.7,3362.8,2652.8,142206
40880,Thorndale,10/01/2018,3399.9,2236.5,1708.8,93979
40760,Granville,10/01/2018,4515.5,3612.3,2625,128805
41300,Loyola,10/01/2018,6079.1,4896.5,3487.3,173354
40100,Morse,10/01/2018,4765.6,3304.3,2636.3,133370
41190,Jarvis,10/01/2018,1593.1,1242.3,987,45559
40900,Howard,10/01/2018,5670.2,3825.5,2950.5,157519
