id, username, currency, amount
69, keithrandy, IQD, 186823
70, johnsoneric, MOP, 88111
71, floresmark, UYU, 151740
72, amanda74, SGD, 40490
73, jessicajohnson, BBD, 51624
74, harrisgerald, BOB, 33981
75, hannahreed, ISK, 143205
76, hjohnson, MZN, 12563
77, karenshaw, KHR, 178939
78, dwebb, ZMW, 181145
79, michaelvazquez, BHD, 150412
80, efuller, CNY, 89239
81, heatherbauer, BGN, 103817
82, michaelrivera, RWF, 171030
83, jessefischer, LRD, 194509
84, jessemoore, USD, 44862
85, jessicahamilton, MDL, 21541
86, ericgarcia, GEL, 160904
87, jamessanders, BAM, 102601
88, rcole, PGK, 29785
89, sdavis, BOB, 73939
90, bowenveronica, ZWD, 58920
91, pmathews, MWK, 121480
92, kimberly54, BOB, 79868
93, jasonthompson, TRY, 177012
94, christinavelez, TJS, 3840
95, jessicasmith, AWG, 43199
96, patrick13, EGP, 128538
97, lori00, MMK, 195968
98, patrickglass, MKD, 13468
99, cstone, NPR, 8918
100, haileyshields, JEP, 30084
101, rduran, IDR, 188367
102, jennifer69, PLN, 189719
103, pjones, VUV, 138736
104, brian69, MZN, 64367
105, thompsonrobert, PGK, 93276
106, andrewwerner, MOP, 151198
107, shepardsierra, MAD, 25239
108, vickieknight, HUF, 27495
109, tramos, JPY, 3597
110, urodriguez, XPF, 20908
111, owarner, TWD, 39037
112, monica49, ANG, 119999
113, eroberts, GEL, 54011
114, patricia70, BHD, 64378
115, hannahwagner, AWG, 177353
116, osbornesteven, JOD, 100814
117, ronaldallen, DKK, 3327
118, armstrongapril, ISK, 8630
119, lewisgary, KZT, 60895
120, jmartin, MYR, 188023
121, colebenjamin, CZK, 28284
122, wsanchez, BAM, 16028
123, imosley, BOB, 184425
124, clarktiffany, RUB, 144564
125, jameschavez, NIO, 110408
126, ebenitez, RON, 72007
127, singhrobert, NPR, 44834
128, jweiss, CHF, 14652
129, riverasarah, GYD, 50821
130, monique18, BWP, 38006
131, areynolds, BZD, 77356
132, john54, STD, 144354
133, christinawilson, LRD, 34133
134, william07, MZN, 123828
135, jaclyn18, MYR, 42143
136, clinejanice, ETB, 67889
137, colleen33, SLL, 85938
138, micheal54, JEP, 42606
139, peggybaker, NAD, 8258
140, garciachristina, NPR, 2853
141, bennettvictoria, ISK, 160232
142, josephanthony, TOP, 117155
143, hortonjason, AWG, 18129
144, gibbssteven, ZAR, 138749
145, carolinegarcia, FKP, 153926
146, latoyaandersen, BAM, 136699
147, gregory23, SDG, 92591
148, elizabethfranklin, SYP, 119119
149, hcallahan, CUP, 165916
150, ashley80, HNL, 138246
151, nmeyer, BBD, 22820
152, gstuart, BND, 41771
153, awilkerson, KRW, 165983
154, cstone, GEL, 49093
155, fgriffin, CVE, 95656
156, michelle12, UGX, 98416
157, rkelly, CNY, 99600
158, adkinsloretta, GBP, 62526
159, johncox, MDL, 67250
160, williamclark, USD, 162688
161, jason45, BYR, 174816
162, zachary93, LSL, 85687
163, gillespiejames, GNF, 160380
164, xsullivan, RSD, 175873
165, rjohnson, BND, 134714
166, leroyrangel, SRD, 39477
167, trujillorachel, GEL, 167463
168, gjackson, SCR, 197955
169, xjohnson, DKK, 146005
170, joneschristopher, UAH, 7040
171, brendaking, QAR, 47757
172, amandakelley, RUB, 13757
173, shafferjason, MGA, 9464
174, rsantiago, XAF, 195075
175, molly39, PLN, 1492
176, howens, OMR, 67813
177, christopher55, SAR, 68615
178, dmitchell, GEL, 196907
179, jessica52, SCR, 134923
180, johnmoore, SPL, 127590
181, crystal39, BND, 165996
182, jason49, UAH, 176162
183, fritzerica, CHF, 128242
184, freykathleen, CNY, 75858
185, brianwatkins, GNF, 51025
186, elizabethbennett, RSD, 84673
187, kim96, THB, 23004
188, emilyjohnson, MYR, 138698
189, mmendoza, GNF, 161119
190, andreanovak, SDG, 160490
191, shawna66, TND, 25259
192, whall, CLP, 136833
193, melendezlindsay, STD, 126952
194, nancymunoz, SGD, 145863
195, dyoung, AED, 165590
196, xibarra, ILS, 967
197, aaronrhodes, BOB, 137055
198, archerryan, GNF, 68470
199, xbond, KYD, 155750
